model,trial_id,source_episode_id,switched,observation,p_minus15,p_flat,p_plus15
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,14,0.1650774193505843,0.7860825872264899,0.048839993422925776
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,15,0.16762238761358678,0.7833400752728574,0.04903753711355592
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,16,0.17090980578886839,0.7789328443771767,0.05015734983395487
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,17,0.1622267448323,0.7863684179109351,0.05140483725676489
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,18,0.15368523678924875,0.7942331419636317,0.052081621247119576
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,19,0.14094773837949878,0.8069052137270781,0.05214704789342312
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,20,0.125678445641259,0.8194406822226622,0.05488087213607887
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,21,0.1115566974441708,0.8312632543418484,0.057180048213980754
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,22,0.09147636041438015,0.8530496852743765,0.055473954311243384
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,23,0.07637951370178683,0.8691082182670008,0.05451226803121237
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,24,0.06590071626275275,0.8852381899215079,0.04886109381573925
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,25,0.05394653874323709,0.9020507301787141,0.044002731078048786
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,26,0.04934772751414702,0.9059602996332209,0.04469197285263214
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,27,0.046982739268490926,0.9061250840329638,0.0468921766985453
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,28,0.03532768396000744,0.9071305556624241,0.05754176037756851
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,29,0.039239115671884914,0.8978218461531156,0.06293903817499963
flow_matching,test_c4_side+1_episode42200_no_switch,42200,False,30,0.03540595690412031,0.8798553538150152,0.08473868928086442
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,1,0.013335304685640448,0.9796604995367408,0.007004195777618743
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,2,0.016962866091683414,0.9760023803194349,0.007034753588881729
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,3,0.009212986199288871,0.9831767581937731,0.007610255606937955
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,4,0.007588390304372766,0.9834303720896314,0.00898123760599587
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,5,0.014923866669957583,0.9731407402875276,0.01193539304251482
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,6,0.03194683720902728,0.9473649463687962,0.02068821642217642
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,7,0.05017388308560269,0.9219786762283828,0.027847440686014416
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,8,0.06949016073650316,0.8975283463568369,0.032981492906660005
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,9,0.09080288884236658,0.8718236175959472,0.03737349356168623
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,10,0.10947419102645525,0.8513289188213483,0.03919689015219652
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,11,0.027678214061898423,0.6396962792178489,0.3326255067202527
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,12,0.004366773677754528,0.5076274627393398,0.48800576358290576
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,13,0.00015972656607499196,0.24779128744773374,0.7520489859861912
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,14,3.4003383797505563e-07,0.0044272594579510185,0.995572400508211
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,15,4.3886735086507767e-10,1.1460609137522106e-05,0.9999885389519951
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,16,1.6432244946771062e-12,5.816388808727804e-07,0.9999994183594759
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,17,8.727885509173118e-16,4.971703433604665e-09,0.9999999950282956
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,18,5.745230485528152e-12,4.6347462858312925e-06,0.999995365247969
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,19,1.0,8.305410619821098e-25,2.4829155596458902e-61
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,20,0.9996643397472489,0.0003174621821324029,1.819807061878673e-05
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,21,0.8808289328268633,0.09758222399053273,0.02158884318260401
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,22,0.9150623622433831,0.06812504330483668,0.01681259445178021
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,23,1.727893859495582e-16,6.021983883319028e-06,0.9999939780161166
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,24,1.0602131226846566e-31,4.566634735271891e-18,1.0
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,25,7.675356935366259e-21,4.557834189770478e-20,1.0
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,26,0.9999864424184618,2.1432408573567252e-08,1.3536149129650535e-05
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,27,0.9999509843676965,1.1357395661131716e-05,3.7658236642394385e-05
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,28,0.999999665480372,3.093745751084963e-07,2.5145053009503973e-08
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,29,0.9964689161868623,0.00012927584044195213,0.0034018079726957223
flow_matching,test_c4_side+1_episode42200_switch_10,42200,True,30,0.9999842201984737,1.5005534333663949e-05,7.742671926172777e-07
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,1,0.0022686401594401,0.991864784703526,0.005866575137033891
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,2,0.009266942360967234,0.9858438322685741,0.004889225370458585
flow_matching,test_c4_side+1_episode42201_no_switch,42201,False,3,0.012513094471385721,0.9778657196843642,0.009621185844250067
