model,reference_trajectory,source_episode_id,prediction_step,valid_endpoints,error_sum_mm
cvae,test_c08_side+1,82200,3,48,195.28284970453302
cvae,test_c08_side+1,82200,4,48,344.67830666921583
cvae,test_c08_side+1,82200,5,48,511.5253293352873
cvae,test_c08_side+1,82200,6,48,843.4829790895839
flow_matching,test_c00_side-1,200,1,48,44.98331547534204
flow_matching,test_c00_side-1,200,2,48,82.7919196151934
flow_matching,test_c00_side-1,200,3,48,177.8057280368653
flow_matching,test_c00_side-1,200,4,48,349.2880494807781
flow_matching,test_c00_side-1,200,5,48,587.1289105498065
flow_matching,test_c00_side-1,200,6,48,991.7174293373187
flow_matching,test_c00_side+1,2200,1,48,29.830554632450305
flow_matching,test_c00_side+1,2200,2,48,63.80219057944197
flow_matching,test_c00_side+1,2200,3,48,121.2055557609789
flow_matching,test_c00_side+1,2200,4,48,179.3819263904778
flow_matching,test_c00_side+1,2200,5,48,334.0103716152559
flow_matching,test_c00_side+1,2200,6,48,584.4966121300281
flow_matching,test_c01_side-1,10200,1,48,38.372332244866186
flow_matching,test_c01_side-1,10200,2,48,74.40059800522435
flow_matching,test_c01_side-1,10200,3,48,147.3011970590417
flow_matching,test_c01_side-1,10200,4,48,298.7036821407702
flow_matching,test_c01_side-1,10200,5,48,531.6398438990384
flow_matching,test_c01_side-1,10200,6,48,916.0838172656217
flow_matching,test_c01_side+1,12200,1,48,25.366136850794074
flow_matching,test_c01_side+1,12200,2,48,45.075120711415586
flow_matching,test_c01_side+1,12200,3,48,80.97232001128305
flow_matching,test_c01_side+1,12200,4,48,148.58047650109017
flow_matching,test_c01_side+1,12200,5,48,205.42053905426047
flow_matching,test_c01_side+1,12200,6,48,270.20646815593125
flow_matching,test_c02_side-1,20200,1,48,49.352391520902806
flow_matching,test_c02_side-1,20200,2,48,102.2190141206747
flow_matching,test_c02_side-1,20200,3,48,208.54113556075626
flow_matching,test_c02_side-1,20200,4,45,254.76027337644751
flow_matching,test_c02_side-1,20200,5,43,415.37002237024274
flow_matching,test_c02_side-1,20200,6,42,655.1878445199922
flow_matching,test_c02_side+1,22200,1,48,27.443749649743438
flow_matching,test_c02_side+1,22200,2,48,59.25958505730338
flow_matching,test_c02_side+1,22200,3,48,113.18835161760093
flow_matching,test_c02_side+1,22200,4,48,178.37025098915166
flow_matching,test_c02_side+1,22200,5,48,264.13257024022374
flow_matching,test_c02_side+1,22200,6,48,392.1054594140736
flow_matching,test_c03_side-1,30200,1,48,32.4924605907174
flow_matching,test_c03_side-1,30200,2,48,68.64667109265137
flow_matching,test_c03_side-1,30200,3,48,115.8996995601617
flow_matching,test_c03_side-1,30200,4,48,184.325272770024
flow_matching,test_c03_side-1,30200,5,48,313.64972293478013
flow_matching,test_c03_side-1,30200,6,48,474.2408393117186
flow_matching,test_c03_side+1,32200,1,48,36.65044172132859
flow_matching,test_c03_side+1,32200,2,48,69.25630751136481
flow_matching,test_c03_side+1,32200,3,48,153.5607695925376
flow_matching,test_c03_side+1,32200,4,48,354.7004760727797
flow_matching,test_c03_side+1,32200,5,48,632.6584842698427
flow_matching,test_c03_side+1,32200,6,45,1033.0741995516778
flow_matching,test_c04_side-1,40200,1,48,30.549037867109355
flow_matching,test_c04_side-1,40200,2,48,53.65302901482979
flow_matching,test_c04_side-1,40200,3,48,102.71487047919612
flow_matching,test_c04_side-1,40200,4,48,190.57013854305612
flow_matching,test_c04_side-1,40200,5,48,302.458311336156
flow_matching,test_c04_side-1,40200,6,48,459.31932506056626
flow_matching,test_c04_side+1,42200,1,48,30.343148199673482
flow_matching,test_c04_side+1,42200,2,48,56.669480350812904
flow_matching,test_c04_side+1,42200,3,48,98.52079913981987
flow_matching,test_c04_side+1,42200,4,48,170.6658611457816
flow_matching,test_c04_side+1,42200,5,48,239.3957363780816
flow_matching,test_c04_side+1,42200,6,48,360.9037823311594
flow_matching,test_c05_side-1,50200,1,48,36.806381065475065
flow_matching,test_c05_side-1,50200,2,48,84.09352231786218
flow_matching,test_c05_side-1,50200,3,48,186.92882135333014
flow_matching,test_c05_side-1,50200,4,48,376.31955759477995
flow_matching,test_c05_side-1,50200,5,48,653.6213684617907
flow_matching,test_c05_side-1,50200,6,46,1107.9830065107706
flow_matching,test_c05_side+1,52200,1,48,31.50378833085745
flow_matching,test_c05_side+1,52200,2,48,50.034693898554146
flow_matching,test_c05_side+1,52200,3,48,110.73612166628725
flow_matching,test_c05_side+1,52200,4,48,194.9802951101423
flow_matching,test_c05_side+1,52200,5,48,320.016201965176
flow_matching,test_c05_side+1,52200,6,48,514.3932172976657
flow_matching,test_c06_side-1,60200,1,48,27.561297273350107
flow_matching,test_c06_side-1,60200,2,48,59.458007451737984
flow_matching,test_c06_side-1,60200,3,48,96.33102134652127
flow_matching,test_c06_side-1,60200,4,48,179.65506847480532
flow_matching,test_c06_side-1,60200,5,48,277.2787250467476
flow_matching,test_c06_side-1,60200,6,48,436.5883267986639
flow_matching,test_c06_side+1,62200,1,48,75.77303558605566
flow_matching,test_c06_side+1,62200,2,41,76.6440719323499
flow_matching,test_c06_side+1,62200,3,39,165.61265981536215
flow_matching,test_c06_side+1,62200,4,39,355.74786976567935
flow_matching,test_c06_side+1,62200,5,37,620.182758204668
flow_matching,test_c06_side+1,62200,6,36,938.8265131513036
flow_matching,test_c07_side-1,70200,1,48,19.614428730952156
flow_matching,test_c07_side-1,70200,2,48,49.45793436541218
flow_matching,test_c07_side-1,70200,3,48,73.99231889884558
flow_matching,test_c07_side-1,70200,4,48,114.8062402886633
flow_matching,test_c07_side-1,70200,5,48,175.5709410389051
flow_matching,test_c07_side-1,70200,6,48,277.3351060712515
flow_matching,test_c07_side+1,72200,1,48,46.00808497743344
flow_matching,test_c07_side+1,72200,2,48,87.74291165537718
flow_matching,test_c07_side+1,72200,3,48,167.52139785937797
flow_matching,test_c07_side+1,72200,4,48,259.272465439378
flow_matching,test_c07_side+1,72200,5,48,436.59123947575597
flow_matching,test_c07_side+1,72200,6,48,741.043824827765
flow_matching,test_c08_side-1,80200,1,48,31.56198901268707
flow_matching,test_c08_side-1,80200,2,48,50.844515792101134
flow_matching,test_c08_side-1,80200,3,48,81.63410435023262
flow_matching,test_c08_side-1,80200,4,48,155.92474367080328
flow_matching,test_c08_side-1,80200,5,48,315.20526518829666
flow_matching,test_c08_side-1,80200,6,48,609.5989235738796
flow_matching,test_c08_side+1,82200,1,48,56.060333095078654
flow_matching,test_c08_side+1,82200,2,48,201.29746764809886
flow_matching,test_c08_side+1,82200,3,48,393.2686664156665
flow_matching,test_c08_side+1,82200,4,48,652.6606822724054
flow_matching,test_c08_side+1,82200,5,48,965.9633876974458
flow_matching,test_c08_side+1,82200,6,48,1383.5831907566653
