budget_ms,budget_violation_rate,calibrated_K,collision_rate,episode_length_mean,episodes,experiment,fall_out_rate,final_distance_mean,model,planning_mean_sec,planning_p50_sec,planning_p90_sec,proposal_p50_sec,proposal_p90_sec,scoring_p50_sec,scoring_p90_sec,step_count,steps,success_rate,timeout_rate,variant,wall_p50_sec,wall_p90_sec
100,0.0,16,0.0,40.44444444444444,18,heldout_start_goal,0.0,0.10764942111240493,flow_matching_aif,0.052816095753799315,0.05586818454321474,0.05640536790015176,0.00888136401772499,0.008904806966893374,0.04686785547528416,0.04742215980077163,728,728,0.9444444444444444,0.05555555555555555,generator_aif_score_equal_wall_clock,0.05645727849332616,0.057004204322583976
1000,0.0,256,0.0,33.611111111111114,18,heldout_start_goal,0.0,0.09234081043137445,flow_matching_aif,0.7937700094562794,0.8483336380450055,0.8596275214105844,0.09765819204039872,0.09783888063393534,0.7505388540448621,0.7618330359924584,605,605,1.0,0.0,generator_aif_score_equal_wall_clock,0.8512514769099653,0.8625886915717274
250,0.0,64,0.0,35.388888888888886,18,heldout_start_goal,0.0,0.09911112238963445,flow_matching_aif,0.20107424000641433,0.21434422000311315,0.2159068140434101,0.0265022290404886,0.026607665023766457,0.1877387260319665,0.1892870248295367,637,637,1.0,0.0,generator_aif_score_equal_wall_clock,0.2152787180384621,0.21685257561039178
50,0.0,8,0.1111111111111111,39.94444444444444,18,heldout_start_goal,0.1111111111111111,0.18662877505024275,flow_matching_aif,0.027930622616321656,0.029426480061374605,0.02983279637992382,0.005892995977774262,0.00590732516720891,0.023437592084519565,0.023836775426752867,719,719,0.7777777777777778,0.0,generator_aif_score_equal_wall_clock,0.029960160027258098,0.03037059577181935
500,0.0,128,0.0,36.5,18,heldout_start_goal,0.0,0.09235256951716211,flow_matching_aif,0.40201721976467236,0.4258825139841065,0.43066188239026815,0.05023797391913831,0.05038113002665341,0.37551446992438287,0.38034727938938884,657,657,1.0,0.0,generator_aif_score_equal_wall_clock,0.4273476710077375,0.4321572898188606
100,0.0,4,0.1111111111111111,41.5,18,heldout_start_goal,0.05555555555555555,0.19019938591453764,transformer_aif,0.07333463099018397,0.07402518996968865,0.07443120258394628,0.06169531005434692,0.061912590218707916,0.012198850978165865,0.01245546662248671,747,747,0.7777777777777778,0.05555555555555555,generator_aif_score_equal_wall_clock,0.07469068001955748,0.07510211279150099
1000,0.0,64,0.0,33.111111111111114,18,heldout_start_goal,0.0,0.09543578864799605,transformer_aif,0.8940581121742132,0.9070966750150546,0.9085597950033844,0.7168181849410757,0.7173942814697511,0.19001202296931297,0.1914381625247188,596,596,1.0,0.0,generator_aif_score_equal_wall_clock,0.9083857659716159,0.9098446634598076
250,0.0015151515151515152,16,0.0,36.666666666666664,18,heldout_start_goal,0.0,0.11226014047861099,transformer_aif,0.23744876607476423,0.2406139614759013,0.2411694267299026,0.1927978610037826,0.19302833983674647,0.0476882120128721,0.04813989918911829,660,660,0.9444444444444444,0.05555555555555555,generator_aif_score_equal_wall_clock,0.24141073151258752,0.24195463783107699
50,0.0,2,0.2777777777777778,37.94444444444444,18,heldout_start_goal,0.05555555555555555,0.2942083718048202,transformer_aif,0.04609307569896838,0.046418507932685316,0.04694867099169642,0.0399379360023886,0.040423989202827214,0.006319025997072458,0.0064552459632977845,683,683,0.6111111111111112,0.05555555555555555,generator_aif_score_equal_wall_clock,0.04705471091438085,0.04758109897375107
500,0.0,32,0.1111111111111111,32.388888888888886,18,heldout_start_goal,0.0,0.1590045409070121,transformer_aif,0.4564601357800225,0.46335743297822773,0.4647016338305548,0.36805234500207007,0.3694466979941353,0.09506352699827403,0.09601618195883929,583,583,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.46433023805730045,0.46568760462105274
100,0.002512562814070352,16,0.0,88.44444444444444,18,id_n_sweep,0.1111111111111111,1.0895814796288807,cem_aif,0.08948071012329006,0.0922333060298115,0.09308996999170631,0.04607545799808577,0.04649830370908603,0.0460111610009335,0.04643843092489988,1592,1592,0.0,0.8888888888888888,aif_cem_equal_wall_clock,0.09282037144294009,0.09368374948389828
1000,0.0,128,0.0,85.44444444444444,18,id_n_sweep,0.05555555555555555,0.6360788299805589,cem_aif,0.7210453104571275,0.7414926450001076,0.74812371119624,0.370181689504534,0.3726914880564436,0.37032791902311146,0.37260588580975307,1538,1538,0.1111111111111111,0.8333333333333334,aif_cem_equal_wall_clock,0.7429968095384538,0.7498549442039804
250,0.0,32,0.0,88.55555555555556,18,id_n_sweep,0.05555555555555555,0.8665767808755239,cem_aif,0.17832546915040717,0.1846046360442415,0.1858812416670844,0.09216570400167257,0.09284087161067874,0.09215977805433795,0.09282428496517241,1594,1594,0.05555555555555555,0.8888888888888888,aif_cem_equal_wall_clock,0.18531297595473006,0.18659379405435172
50,0.0007117437722419929,8,0.0,78.05555555555556,18,id_n_sweep,0.5,1.3766625490453508,cem_aif,0.044665439633877944,0.04613241506740451,0.046719212620519104,0.0230419069994241,0.023336644168011844,0.022977464948780835,0.02327033078763634,1405,1405,0.0,0.5,aif_cem_equal_wall_clock,0.04666433099191636,0.047252273862250144
500,0.0,64,0.0,88.5,18,id_n_sweep,0.0,0.7263044214083089,cem_aif,0.3573368272381061,0.36973970802500844,0.3717686066171154,0.1846130039775744,0.1856513699516654,0.18471133999992162,0.18572515037376433,1593,1593,0.05555555555555555,0.9444444444444444,aif_cem_equal_wall_clock,0.3706854389747605,0.37272754178848116
100,0.004518072289156626,32,0.16666666666666666,36.888888888888886,18,id_n_sweep,0.16666666666666666,0.496080348889033,bc_mdn_aif,0.08634544892256928,0.09380161203444004,0.09585004316177219,0.0004333549877628684,0.000441219040658325,0.09327165951253846,0.09532946653198451,664,664,0.6666666666666666,0.0,generator_aif_score_equal_wall_clock,0.09457908745389432,0.09664237740216777
1000,0.0,256,0.0,40.833333333333336,18,id_n_sweep,0.0,0.1439445014629099,bc_mdn_aif,0.686167752881357,0.7469582200283185,0.7624981530709192,0.001261226017959416,0.0014431579969823361,0.7455580970272422,0.7610014915699139,735,735,0.9444444444444444,0.05555555555555555,generator_aif_score_equal_wall_clock,0.74980496999342,0.7655362139921635
250,0.0,64,0.2222222222222222,41.22222222222222,18,id_n_sweep,0.16666666666666666,0.626759128852023,bc_mdn_aif,0.17444750925085464,0.18344975053332746,0.19103267950704322,0.0005443040281534195,0.0005603249417617918,0.18273956753546372,0.1903913012123667,742,742,0.5,0.1111111111111111,generator_aif_score_equal_wall_clock,0.18445664056343958,0.19205550814513117
50,0.001694915254237288,16,0.2222222222222222,32.77777777777778,18,id_n_sweep,0.2222222222222222,0.6188293492628468,bc_mdn_aif,0.04355021566783978,0.0473283680039458,0.04814996711211279,0.00037754501681774855,0.00039187604561448093,0.04687135299900547,0.04768687337636948,590,590,0.5555555555555556,0.0,generator_aif_score_equal_wall_clock,0.047991155995987356,0.0488187910290435
500,0.0,128,0.16666666666666666,34.333333333333336,18,id_n_sweep,0.05555555555555555,0.3042550902399752,bc_mdn_aif,0.3429293096682259,0.3760142925311811,0.3819226335152052,0.0007715999963693321,0.0008574218954890967,0.3750437810085714,0.3810447141062468,618,618,0.7777777777777778,0.0,generator_aif_score_equal_wall_clock,0.3775245094439015,0.3834578249487095
100,0.005509641873278237,32,0.0,40.333333333333336,18,id_n_sweep,0.0,0.15538861768113243,cvae_aif,0.0878671030444991,0.0936757440213114,0.09507910354295745,0.00020366546232253313,0.00021196098532527685,0.09338705794652924,0.0947905975044705,726,726,0.9444444444444444,0.05555555555555555,generator_aif_score_equal_wall_clock,0.09440159250516444,0.09580433095106855
1000,0.23846153846153847,256,0.0,36.111111111111114,18,id_n_sweep,0.0,0.08432337641716003,cvae_aif,0.8830371932282399,0.8447520110057667,1.1028120715520344,0.0007938665803521872,0.001003560284152627,0.8437945495243184,1.1015372287365608,650,650,1.0,0.0,generator_aif_score_equal_wall_clock,0.8505244164844044,1.1120232267654502
250,0.42344827586206896,64,0.0,40.27777777777778,18,id_n_sweep,0.0,0.14401356875896454,cvae_aif,0.23080810963898768,0.24761486100032926,0.25732195251621304,0.0005571739748120308,0.0006292185513302684,0.24674659897573292,0.2565757096279413,725,725,0.9444444444444444,0.05555555555555555,generator_aif_score_equal_wall_clock,0.2503862789599225,0.2601006352342665
50,0.0014005602240896359,16,0.0,39.666666666666664,18,id_n_sweep,0.1111111111111111,0.2786777719027466,cvae_aif,0.043903427074450725,0.04708840197417885,0.04767660181969404,0.0001769300433807075,0.0001832809881307185,0.04683299397584051,0.04742157977307215,714,714,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.0476855814922601,0.04827258710283786
500,0.12844036697247707,128,0.0,36.333333333333336,18,id_n_sweep,0.0,0.08441776120000416,cvae_aif,0.4043778529296706,0.4080554760294035,0.5193424975965172,0.0006192520377226174,0.0007473274017684163,0.40725616295821965,0.5185744804213755,654,654,1.0,0.0,generator_aif_score_equal_wall_clock,0.41191346454434097,0.5233644461026415
100,1.0,1,0.05555555555555555,63.333333333333336,18,id_n_sweep,0.3888888888888889,0.8291593951483568,diffusion_policy_aif,0.18390068295432188,0.17740436596795917,0.2179212246555835,0.17355934146326035,0.21376374670071527,0.0037454909761436284,0.0039252040442079306,1140,1140,0.3333333333333333,0.2222222222222222,generator_aif_score_equal_wall_clock,0.17802548903273419,0.21857829850632698
1000,0.18876941457586618,16,0.0,46.5,18,id_n_sweep,0.0,0.10740060110886891,diffusion_policy_aif,0.8958093548117633,0.8672001869417727,1.0208722264273091,0.8181309419451281,0.962420153641142,0.04912286403123289,0.05936329916585237,837,837,1.0,0.0,generator_aif_score_equal_wall_clock,0.8680052709532902,1.022054693242535
250,1.0,4,0.05555555555555555,55.0,18,id_n_sweep,0.05555555555555555,0.330711689674192,diffusion_policy_aif,0.3394473039639192,0.33784271351760253,0.37771081388928,0.32357971847523004,0.3633638430503197,0.013718298985622823,0.014837511698715389,990,990,0.8333333333333334,0.05555555555555555,generator_aif_score_equal_wall_clock,0.33859510050388053,0.3784207553952001
50,1.0,1,0.05555555555555555,63.333333333333336,18,id_n_sweep,0.3888888888888889,0.8291593951483568,diffusion_policy_aif,0.1802002544361657,0.17230047850171104,0.21574035758385435,0.16851409000810236,0.2118550884886645,0.0036927059991285205,0.0038540459354408085,1140,1140,0.3333333333333333,0.2222222222222222,generator_aif_score_equal_wall_clock,0.17291908798506483,0.21639584440272303
500,0.47879464285714285,8,0.0,49.77777777777778,18,id_n_sweep,0.0,0.10693003692560726,diffusion_policy_aif,0.5187765932428842,0.4988089019898325,0.574581457010936,0.47348268050700426,0.5457189465523697,0.0257203450310044,0.029012560029514134,896,896,1.0,0.0,generator_aif_score_equal_wall_clock,0.4995370744727552,0.5754445104976185
100,0.0014104372355430183,16,0.16666666666666666,39.388888888888886,18,id_n_sweep,0.1111111111111111,0.480139560583565,flow_matching_aif,0.07089425100368935,0.07367252395488322,0.0759874657727778,0.011557676014490426,0.012129160203039648,0.0617814069846645,0.06417353444267064,709,709,0.6666666666666666,0.05555555555555555,generator_aif_score_equal_wall_clock,0.0749702900648117,0.07734035896137356
1000,0.22023809523809523,256,0.0,37.333333333333336,18,id_n_sweep,0.0,0.08407943612999386,flow_matching_aif,0.8889586360791804,0.9225215239566751,1.047283749631606,0.1070011185365729,0.11362625454785302,0.8146634075092152,0.9329968164674938,672,672,1.0,0.0,generator_aif_score_equal_wall_clock,0.9290331815136597,1.0539392905659042
250,0.8659517426273459,64,0.1111111111111111,41.44444444444444,18,id_n_sweep,0.05555555555555555,0.3285761661827564,flow_matching_aif,0.28148301590740277,0.2909878389327787,0.3063724129460752,0.03746900300029665,0.04095115250675008,0.252908120455686,0.2655915370560251,746,746,0.7777777777777778,0.05555555555555555,generator_aif_score_equal_wall_clock,0.2936703599989414,0.3095105849788524
50,0.0,8,0.16666666666666666,47.0,18,id_n_sweep,0.16666666666666666,0.561684167633454,flow_matching_aif,0.03581315847680668,0.03712664148770273,0.03858017100719735,0.007694767962675542,0.008053792000282556,0.029187480977270752,0.030552924028597772,846,846,0.5,0.16666666666666666,generator_aif_score_equal_wall_clock,0.038062642503064126,0.039559094060678035
500,0.35050251256281406,128,0.0,44.22222222222222,18,id_n_sweep,0.1111111111111111,0.26626281274689567,flow_matching_aif,0.46840563618277326,0.4825463375309482,0.5586081825313158,0.05803583352826536,0.06570965354330838,0.4255147949443199,0.49265107547398657,796,796,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.4861132489750162,0.5632711795042269
100,0.9713701431492843,4,0.5555555555555556,27.166666666666668,18,id_n_sweep,0.05555555555555555,0.5193117923206754,transformer_aif,0.10911859893801876,0.1096128299832344,0.1140874361852184,0.09637000598013401,0.09977753960993141,0.014182962942868471,0.014692072384059429,489,489,0.3888888888888889,0.0,generator_aif_score_equal_wall_clock,0.11050311499275267,0.11499200977850706
1000,0.3158682634730539,64,0.05555555555555555,37.111111111111114,18,id_n_sweep,0.05555555555555555,0.21552412294679218,transformer_aif,0.9783705728495226,0.9632499829749577,1.0877579866326414,0.7678113844594918,0.8959925683331675,0.1957567100180313,0.2248015675577335,668,668,0.8888888888888888,0.0,generator_aif_score_equal_wall_clock,0.9651179924840108,1.0901106581557543
250,0.9503386004514672,16,0.6111111111111112,24.61111111111111,18,id_n_sweep,0.0,0.523547649797466,transformer_aif,0.3093469183979783,0.2793444769922644,0.476421165606007,0.2278798900078982,0.38734265556558967,0.052307501900941133,0.08773982576094569,443,443,0.3888888888888889,0.0,generator_aif_score_equal_wall_clock,0.2803478640271351,0.47841500558424743
50,1.0,2,0.6111111111111112,25.72222222222222,18,id_n_sweep,0.05555555555555555,0.5504494048655033,transformer_aif,0.11347184475832146,0.11546414194162935,0.11952803214080632,0.10427268804050982,0.1081797854276374,0.011657975963316858,0.012104158569127322,463,463,0.3333333333333333,0.0,generator_aif_score_equal_wall_clock,0.11678632197435945,0.12089015478268265
500,0.843585237258348,32,0.2777777777777778,31.61111111111111,18,id_n_sweep,0.05555555555555555,0.38552261226707035,transformer_aif,0.5286518265366364,0.5215602059615776,0.587889084033668,0.41938472096808255,0.47482255396898837,0.10403893399052322,0.11919573615305125,569,569,0.6666666666666666,0.0,generator_aif_score_equal_wall_clock,0.5229311289731413,0.589524899283424
