K,collision_rate,episodes,fall_out_rate,mean_best_of_K_G_total,mean_both_side_routes_covered,mean_center_route_fraction,mean_episode_length,mean_feasible_proposal_rate,mean_feasible_side_route_coverage,mean_final_distance_to_goal,mean_invalid_action_fraction,mean_invalid_route_fraction,mean_left_route_fraction,mean_planning_time_per_decision,mean_proposal_time_per_decision,mean_right_route_fraction,mean_rollout_scoring_time_per_decision,mean_route_entropy,mean_total_planning_time_per_episode,mean_total_wall_clock_time_per_episode,mean_wall_clock_time_per_decision,model,success_rate,timeout_rate,variant
16,0.4444444444444444,18,0.05555555555555555,37.396181152366296,0.0,0.33407929301876377,28.166666666666668,0.7377990901307464,0.0,0.5215959428913064,0.0,0.2622009098692535,0.14828414457570468,0.05046087716566235,0.00743151577534815,0.25543565253627804,0.042921740497779,0.09063632995646212,1.4325032737817511,1.4516677362876687,0.05114140890602882,transformer_aif,0.5,0.0,generator_aif_score
256,0.0,18,0.05555555555555555,10.169129620707102,0.0,0.27430556508026877,50.44444444444444,0.887369280862215,0.0,0.4389415325389968,0.0,0.11263071913778508,0.31740170401318213,0.6977862055752396,0.0009104567699702404,0.29566201176876405,0.6967256829559794,0.13467984407818434,35.37765515479906,35.58103857556772,0.7017954605454417,bc_mdn_aif,0.7222222222222222,0.2222222222222222,generator_aif_score
256,0.0,18,0.0,6.8635961105691665,0.0012345679012345679,0.2749564890906096,36.27777777777778,0.9197523351699094,0.0012345679012345679,0.08297414084275563,0.0,0.08024766483009065,0.281134637978515,0.704741737785074,0.0004942635657259845,0.3636612081007848,0.7040981115093319,0.213063028342256,25.637519222150633,25.787295566444907,0.7088689889868203,cvae_aif,1.0,0.0,generator_aif_score
256,0.0,18,0.0,7.035717707540509,0.0011574074074074073,0.16878151590190207,40.94444444444444,0.9987614256219486,0.0011574074074074073,0.09623041335079405,0.0,0.0012385743780514889,0.23989375359509385,0.8081984383515352,0.08570416030480288,0.5900861561249526,0.7223419074864412,0.06998574699552194,33.166811316710664,33.34672251841079,0.8125922052662479,diffusion_policy_aif,1.0,0.0,generator_aif_score
256,0.05555555555555555,18,0.0,10.641110852800416,0.0,0.23832952023966408,41.666666666666664,0.8634103128935672,0.0,0.22728396207094193,0.0,0.13658968710643288,0.19067063432156275,0.7037580932074312,0.0037844926271858,0.4344101583323403,0.6997870107268761,0.15048239397500032,29.458643273081787,29.636359640794883,0.7080151703686742,flow_matching_aif,0.8333333333333334,0.1111111111111111,generator_aif_score
256,0.05555555555555555,18,0.0,9.71260417440141,0.0,0.24790176343616294,34.611111111111114,0.8460863734444847,0.0,0.1198843705157439,0.0,0.15391362655551533,0.24927033567064136,0.7210841327218492,0.02496471250724882,0.34891427433768035,0.6959383010897638,0.12393737471183158,25.069504353043158,25.218833758198244,0.7253944746347986,transformer_aif,0.9444444444444444,0.0,generator_aif_score
32,0.16666666666666666,18,0.2222222222222222,25.260738488774862,0.0,0.30499012911195955,33.833333333333336,0.8034067367094,0.0,0.5798151472376453,0.0,0.19659326329060003,0.1917282176292854,0.08711742352225527,0.000616666883855195,0.306688389968155,0.08641256144453657,0.12951523020116057,2.9623016043365675,2.9895759813274103,0.08792222060483795,bc_mdn_aif,0.6111111111111112,0.0,generator_aif_score
32,0.0,18,0.0,7.609796444570157,0.0,0.28267391747253184,40.333333333333336,0.9399129197345366,0.0,0.15130367502570152,0.0,0.060087080265463416,0.2277434689153439,0.0887675361739521,0.0002878648051500726,0.42949553334666085,0.08839355013261876,0.1943130262291693,3.58791640660234,3.6179008957050325,0.08951180029013996,cvae_aif,0.9444444444444444,0.05555555555555555,generator_aif_score
32,0.0,18,0.0,7.412178899948561,0.0,0.11641816161399711,42.888888888888886,0.999687765103479,0.0,0.1067245759897762,0.0,0.00031223489652097377,0.37275370094913113,0.11440691110981291,0.02437806353557145,0.5105159025403508,0.08994097858869855,0.0652444608114316,4.910841496189176,4.94360880715087,0.11517129727898062,diffusion_policy_aif,1.0,0.0,generator_aif_score
32,0.16666666666666666,18,0.16666666666666666,22.730626612621688,0.0,0.28566936783581515,42.611111111111114,0.8523265722545267,0.0,0.5712730342315303,0.0,0.14767342774547332,0.10005343127279404,0.09219121280655468,0.003704812339175243,0.46660377314591744,0.08836981802264327,0.14199043139222536,3.960453426294003,3.9924236234574995,0.09294264091961546,flow_matching_aif,0.6111111111111112,0.05555555555555555,generator_aif_score
